ICD-10 code,Description,Body system,Progressive,code heading
A52.78,Syphilis of other musculoskeletal tissue,neurological,yes,A527
A52.79,Other symptomatic late syphilis,neurological,yes,A527
A52.8,Late syphilis; latent,neurological,yes,A528
A52.9,Late syphilis; unspecified,neurological,yes,A529
A53.0,Latent syphilis; unspecified as early or late,neurological,yes,A53
A53.9,Syphilis; unspecified,neurological,yes,A53
A81.00,Creutzfeldt-Jakob disease; unspecified,neurological,yes,A81
A81.01,Variant Creutzfeldt-Jakob disease,neurological,yes,A81
A81.09,Other Creutzfeldt-Jakob disease,neurological,yes,A81
A81.1,Subacute sclerosing panencephalitis,neurological,yes,A81
A81.2,Progressive multifocal leukoencephalopathy,neurological,yes,A81
A81.81,Kuru,neurological,yes,A81
A81.82,Gerstmann-Straussler-Scheinker syndrome,neurological,yes,A81
A81.83,Fatal familial insomnia,neurological,yes,A81
A81.89,Other atypical virus infections of central nervous system,neurological,yes,A81
A81.9,Atypical virus infection of central nervous system; unspecified,neurological,yes,A81
B10.01,Human herpesvirus 6 encephalitis,neurological,yes,B100
B10.09,Other human herpesvirus encephalitis,neurological,yes,B100
B20,Human immunodeficiency virus [HIV] disease,"immunological
",yes,B20
B90.0,Sequelae of central nervous system tuberculosis,neurological,yes,B900
B90.1,Sequelae of genitourinary tuberculosis,genitourinary,no,B901
B90.2,Sequelae of tuberculosis of bones and joints,musculoskeletal,no,B902
B90.8,Sequelae of tuberculosis of other organs,pulmonary/respiratory,no,B908
B90.9,Sequelae of respiratory and unspecified tuberculosis,pulmonary/respiratory,no,B909
B91,Sequelae of poliomyelitis,neurological,yes,B91
B97.35,Human immunodeficiency virus; type 2 [HIV 2] as the cause of diseases classified elsewhere,"immunological
",yes,B9735
C00.0,Malignant neoplasm of external upper lip,malignancy,n/a,C0
C00.1,Malignant neoplasm of external lower lip,malignancy,n/a,C0
C00.2,Malignant neoplasm of external lip; unspecified,malignancy,n/a,C0
C00.3,Malignant neoplasm of upper lip; inner aspect,malignancy,n/a,C0
C00.4,Malignant neoplasm of lower lip; inner aspect,malignancy,n/a,C0
C00.5,Malignant neoplasm of lip; unspecified; inner aspect,malignancy,n/a,C0
C00.6,Malignant neoplasm of commissure of lip; unspecified,malignancy,n/a,C0
C00.8,Malignant neoplasm of overlapping sites of lip,malignancy,n/a,C0
C00.9,Malignant neoplasm of lip; unspecified,malignancy,n/a,C0
C01,Malignant neoplasm of base of tongue,malignancy,n/a,C0
C02.0,Malignant neoplasm of dorsal surface of tongue,malignancy,n/a,C0
C02.1,Malignant neoplasm of border of tongue,malignancy,n/a,C0
C02.2,Malignant neoplasm of ventral surface of tongue,malignancy,n/a,C0
C02.3,Malignant neoplasm of anterior two-thirds of tongue; part unspecified,malignancy,n/a,C0
C02.4,Malignant neoplasm of lingual tonsil,malignancy,n/a,C0
C02.8,Malignant neoplasm of overlapping sites of tongue,malignancy,n/a,C0
C02.9,Malignant neoplasm of tongue; unspecified,malignancy,n/a,C0
C03.0,Malignant neoplasm of upper gum,malignancy,n/a,C0
C03.1,Malignant neoplasm of lower gum,malignancy,n/a,C0
C03.9,Malignant neoplasm of gum; unspecified,malignancy,n/a,C0
C04.0,Malignant neoplasm of anterior floor of mouth,malignancy,n/a,C0
C04.1,Malignant neoplasm of lateral floor of mouth,malignancy,n/a,C0
C04.8,Malignant neoplasm of overlapping sites of floor of mouth,malignancy,n/a,C0
C04.9,Malignant neoplasm of floor of mouth; unspecified,malignancy,n/a,C0
C05.0,Malignant neoplasm of hard palate,malignancy,n/a,C0
C05.1,Malignant neoplasm of soft palate,malignancy,n/a,C0
C05.2,Malignant neoplasm of uvula,malignancy,n/a,C0
C05.8,Malignant neoplasm of overlapping sites of palate,malignancy,n/a,C0
C05.9,Malignant neoplasm of palate; unspecified,malignancy,n/a,C0
C06.0,Malignant neoplasm of cheek mucosa,malignancy,n/a,C0
C06.1,Malignant neoplasm of vestibule of mouth,malignancy,n/a,C0
C06.2,Malignant neoplasm of retromolar area,malignancy,n/a,C0
C06.8,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,malignancy,n/a,C0
C06.80,Malignant neoplasm of overlapping sites of unspecified parts of mouth,malignancy,n/a,C0
C06.89,Malignant neoplasm of overlapping sites of other parts of mouth,malignancy,n/a,C0
C06.9,Malignant neoplasm of mouth; unspecified,malignancy,n/a,C0
C07,Malignant neoplasm of parotid gland,malignancy,n/a,C0
C08.0,Malignant neoplasm of submandibular gland,malignancy,n/a,C0
C08.1,Malignant neoplasm of sublingual gland,malignancy,n/a,C0
C08.9,Malignant neoplasm of major salivary gland; unspecified,malignancy,n/a,C0
C09.0,Malignant neoplasm of tonsillar fossa,malignancy,n/a,C0
C09.1,Malignant neoplasm of tonsillar pillar (anterior) (posterior),malignancy,n/a,C0
C09.8,Malignant neoplasm of overlapping sites of tonsil,malignancy,n/a,C0
C09.9,Malignant neoplasm of tonsil; unspecified,malignancy,n/a,C0
C10.0,Malignant neoplasm of vallecula,malignancy,n/a,C1
C10.1,Malignant neoplasm of anterior surface of epiglottis,malignancy,n/a,C1
C10.2,Malignant neoplasm of lateral wall of oropharynx,malignancy,n/a,C1
C10.3,Malignant neoplasm of posterior wall of oropharynx,malignancy,n/a,C1
C10.4,Malignant neoplasm of branchial cleft,malignancy,n/a,C1
C10.8,Malignant neoplasm of overlapping sites of oropharynx,malignancy,n/a,C1
C10.9,Malignant neoplasm of oropharynx; unspecified,malignancy,n/a,C1
C11.0,Malignant neoplasm of superior wall of nasopharynx,malignancy,n/a,C1
C11.1,Malignant neoplasm of posterior wall of nasopharynx,malignancy,n/a,C1
C11.2,Malignant neoplasm of lateral wall of nasopharynx,malignancy,n/a,C1
C11.3,Malignant neoplasm of anterior wall of nasopharynx,malignancy,n/a,C1
C11.8,Malignant neoplasm of overlapping sites of nasopharynx,malignancy,n/a,C1
C11.9,Malignant neoplasm of nasopharynx; unspecified,malignancy,n/a,C1
C12,Malignant neoplasm of pyriform sinus,malignancy,n/a,C1
C13.0,Malignant neoplasm of postcricoid region,malignancy,n/a,C1
C13.1,Malignant neoplasm of aryepiglottic fold; hypopharyngeal aspect,malignancy,n/a,C1
C13.2,Malignant neoplasm of posterior wall of hypopharynx,malignancy,n/a,C1
C13.8,Malignant neoplasm of overlapping sites of hypopharynx,malignancy,n/a,C1
C13.9,Malignant neoplasm of hypopharynx; unspecified,malignancy,n/a,C1
C14.0,Malignant neoplasm of pharynx; unspecified,malignancy,n/a,C1
C14.2,Malignant neoplasm of Waldeyer's ring,malignancy,n/a,C1
C14.8,Malignant neoplasm of overlapping sites of lip; oral cavity and pharynx,malignancy,n/a,C1
C15.3,Malignant neoplasm of upper third of esophagus,malignancy,n/a,C1
C15.4,Malignant neoplasm of middle third of esophagus,malignancy,n/a,C1
C15.5,Malignant neoplasm of lower third of esophagus,malignancy,n/a,C1
C15.8,Malignant neoplasm of overlapping sites of esophagus,malignancy,n/a,C1
C15.9,Malignant neoplasm of esophagus; unspecified,malignancy,n/a,C1
C16.0,Malignant neoplasm of cardia,malignancy,n/a,C1
C16.1,Malignant neoplasm of fundus of stomach,malignancy,n/a,C1
C16.2,Malignant neoplasm of body of stomach,malignancy,n/a,C1
C16.3,Malignant neoplasm of pyloric antrum,malignancy,n/a,C1
C16.4,Malignant neoplasm of pylorus,malignancy,n/a,C1
C16.5,Malignant neoplasm of lesser curvature of stomach; unspecified,malignancy,n/a,C1
C16.6,Malignant neoplasm of greater curvature of stomach; unspecified,malignancy,n/a,C1
C16.8,Malignant neoplasm of overlapping sites of stomach,malignancy,n/a,C1
C16.9,Malignant neoplasm of stomach; unspecified,malignancy,n/a,C1
C17.0,Malignant neoplasm of duodenum,malignancy,n/a,C1
C17.1,Malignant neoplasm of jejunum,malignancy,n/a,C1
C17.2,Malignant neoplasm of ileum,malignancy,n/a,C1
C17.3,Meckel's diverticulum; malignant,malignancy,n/a,C1
C17.8,Malignant neoplasm of overlapping sites of small intestine,malignancy,n/a,C1
C17.9,Malignant neoplasm of small intestine; unspecified,malignancy,n/a,C1
C18.0,Malignant neoplasm of cecum,malignancy,n/a,C1
C18.1,Malignant neoplasm of appendix,malignancy,n/a,C1
C18.2,Malignant neoplasm of ascending colon,malignancy,n/a,C1
C18.3,Malignant neoplasm of hepatic flexure,malignancy,n/a,C1
C18.4,Malignant neoplasm of transverse colon,malignancy,n/a,C1
C18.5,Malignant neoplasm of splenic flexure,malignancy,n/a,C1
C18.6,Malignant neoplasm of descending colon,malignancy,n/a,C1
C18.7,Malignant neoplasm of sigmoid colon,malignancy,n/a,C1
C18.8,Malignant neoplasm of overlapping sites of colon,malignancy,n/a,C1
C18.9,Malignant neoplasm of colon; unspecified,malignancy,n/a,C1
C19,Malignant neoplasm of rectosigmoid junction,malignancy,n/a,C1
C20,Malignant neoplasm of rectum,malignancy,n/a,C2
C21.0,Malignant neoplasm of anus; unspecified,malignancy,n/a,C2
C21.1,Malignant neoplasm of anal canal,malignancy,n/a,C2
C21.2,Malignant neoplasm of cloacogenic zone,malignancy,n/a,C2
C21.8,Malignant neoplasm of overlapping sites of rectum; anus and anal canal,malignancy,n/a,C2
C22.0,Liver cell carcinoma,malignancy,n/a,C2
C22.1,Intrahepatic bile duct carcinoma,malignancy,n/a,C2
C22.2,Hepatoblastoma,malignancy,n/a,C2
C22.3,Angiosarcoma of liver,malignancy,n/a,C2
C22.4,Other sarcomas of liver,malignancy,n/a,C2
C22.7,Other specified carcinomas of liver,malignancy,n/a,C2
C22.8,Malignant neoplasm of liver; primary; unspecified as to type,malignancy,n/a,C2
C22.9,Malignant neoplasm of liver; not specified as primary or secondary,malignancy,n/a,C2
C23,Malignant neoplasm of gallbladder,malignancy,n/a,C2
C24.0,Malignant neoplasm of extrahepatic bile duct,malignancy,n/a,C2
C24.1,Malignant neoplasm of ampulla of Vater,malignancy,n/a,C2
C24.8,Malignant neoplasm of overlapping sites of biliary tract,malignancy,n/a,C2
C24.9,Malignant neoplasm of biliary tract; unspecified,malignancy,n/a,C2
C25.0,Malignant neoplasm of head of pancreas,malignancy,n/a,C2
C25.1,Malignant neoplasm of body of pancreas,malignancy,n/a,C2
C25.2,Malignant neoplasm of tail of pancreas,malignancy,n/a,C2
C25.3,Malignant neoplasm of pancreatic duct,malignancy,n/a,C2
C25.4,Malignant neoplasm of endocrine pancreas,malignancy,n/a,C2
C25.7,Malignant neoplasm of other parts of pancreas,malignancy,n/a,C2
C25.8,Malignant neoplasm of overlapping sites of pancreas,malignancy,n/a,C2
C25.9,Malignant neoplasm of pancreas; unspecified,malignancy,n/a,C2
C26.0,Malignant neoplasm of intestinal tract; part unspecified,malignancy,n/a,C2
C26.1,Malignant neoplasm of spleen,malignancy,n/a,C2
C26.9,Malignant neoplasm of ill-defined sites within the digestive system,malignancy,n/a,C2
C30.0,Malignant neoplasm of nasal cavity,malignancy,n/a,C3
C30.1,Malignant neoplasm of middle ear,malignancy,n/a,C3
C31.0,Malignant neoplasm of maxillary sinus,malignancy,n/a,C3
C31.1,Malignant neoplasm of ethmoidal sinus,malignancy,n/a,C3
C31.2,Malignant neoplasm of frontal sinus,malignancy,n/a,C3
C31.3,Malignant neoplasm of sphenoid sinus,malignancy,n/a,C3
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses,malignancy,n/a,C3
C31.9,Malignant neoplasm of accessory sinus; unspecified,malignancy,n/a,C3
C32.0,Malignant neoplasm of glottis,malignancy,n/a,C3
C32.1,Malignant neoplasm of supraglottis,malignancy,n/a,C3
C32.2,Malignant neoplasm of subglottis,malignancy,n/a,C3
C32.3,Malignant neoplasm of laryngeal cartilage,malignancy,n/a,C3
C32.8,Malignant neoplasm of overlapping sites of larynx,malignancy,n/a,C3
C32.9,Malignant neoplasm of larynx; unspecified,malignancy,n/a,C3
C33,Malignant neoplasm of trachea,malignancy,n/a,C3
C34.00,Malignant neoplasm of unspecified main bronchus,malignancy,n/a,C3
C34.01,Malignant neoplasm of right main bronchus,malignancy,n/a,C3
C34.02,Malignant neoplasm of left main bronchus,malignancy,n/a,C3
C34.10,Malignant neoplasm of upper lobe; unspecified bronchus or lung,malignancy,n/a,C3
C34.11,Malignant neoplasm of upper lobe; right bronchus or lung,malignancy,n/a,C3
C34.12,Malignant neoplasm of upper lobe; left bronchus or lung,malignancy,n/a,C3
C34.2,Malignant neoplasm of middle lobe; bronchus or lung,malignancy,n/a,C3
C34.30,Malignant neoplasm of lower lobe; unspecified bronchus or lung,malignancy,n/a,C3
C34.31,Malignant neoplasm of lower lobe; right bronchus or lung,malignancy,n/a,C3
C34.32,Malignant neoplasm of lower lobe; left specified bronchus or lung,malignancy,n/a,C3
C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,malignancy,n/a,C3
C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,malignancy,n/a,C3
C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung,malignancy,n/a,C3
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,malignancy,n/a,C3
C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,malignancy,n/a,C3
C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,malignancy,n/a,C3
C37,Malignant neoplasm of thymus,malignancy,n/a,C3
C38.0,Malignant neoplasm of heart,malignancy,n/a,C3
C38.1,Malignant neoplasm of anterior mediastinum,malignancy,n/a,C3
C38.2,Malignant neoplasm of posterior mediastinum,malignancy,n/a,C3
C38.3,Malignant neoplasm of mediastinum; part unspecified,malignancy,n/a,C3
C38.4,Malignant neoplasm of pleura,malignancy,n/a,C3
C38.8,Malignant neoplasm of overlapping sites of heart; mediastinum and pleura,malignancy,n/a,C3
C39.0,Malignant neoplasm of upper respiratory tract; part unspecified,malignancy,n/a,C3
C39.9,Malignant neoplasm of lower respiratory tract; part unspecified,malignancy,n/a,C3
C40.00,Malignant neoplasm of scapula and long bones of unspecified upper limb,malignancy,n/a,C40
C40.01,Malignant neoplasm of scapula and long bones of right upper limb,malignancy,n/a,C40
C40.02,Malignant neoplasm of scapula and long bones of left upper limb,malignancy,n/a,C40
C40.10,Malignant neoplasm of short bones of unspecified upper limb,malignancy,n/a,C40
C40.11,Malignant neoplasm of short bones of right upper limb,malignancy,n/a,C40
C40.12,Malignant neoplasm of short bones of left upper limb,malignancy,n/a,C40
C40.20,Malignant neoplasm of long bones of unspecified lower limb,malignancy,n/a,C40
C40.21,Malignant neoplasm of long bones of right lower limb,malignancy,n/a,C40
C40.22,Malignant neoplasm of long bones of left lower limb,malignancy,n/a,C40
C40.30,Malignant neoplasm of short bones of unspecified lower limb,malignancy,n/a,C40
C40.31,Malignant neoplasm of short bones of right lower limb,malignancy,n/a,C40
C40.32,Malignant neoplasm of short bones of left lower limb,malignancy,n/a,C40
C40.80,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,malignancy,n/a,C40
C40.81,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,malignancy,n/a,C40
C40.82,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,malignancy,n/a,C40
C40.90,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,malignancy,n/a,C40
C40.91,Malignant neoplasm of unspecified bones and articular cartilage of right limb,malignancy,n/a,C40
C40.92,Malignant neoplasm of unspecified bones and articular cartilage of left limb,malignancy,n/a,C40
C41.0,Malignant neoplasm of bones of skull and face,malignancy,n/a,C41
C41.1,Malignant neoplasm of mandible,malignancy,n/a,C41
C41.2,Malignant neoplasm of vertebral column,malignancy,n/a,C41
C41.3,Malignant neoplasm of ribs; sternum and clavicle,malignancy,n/a,C41
C41.4,Malignant neoplasm of pelvic bones; sacrum and coccyx,malignancy,n/a,C41
C41.9,Malignant neoplasm of bone and articular cartilage; unspecified,malignancy,n/a,C41
C43.0,Malignant melanoma of lip,malignancy,n/a,C43
C43.10,Malignant melanoma of unspecified eyelid; including canthus,malignancy,n/a,C43
C43.11,Malignant melanoma of right eyelid; including canthus,malignancy,n/a,C43
C43.12,Malignant melanoma of left eyelid; including canthus,malignancy,n/a,C43
C43.20,Malignant melanoma of unspecified ear and external auricular canal,malignancy,n/a,C43
C43.21,Malignant melanoma of right ear and external auricular canal,malignancy,n/a,C43
C43.22,Malignant melanoma of left ear and external auricular canal,malignancy,n/a,C43
C43.30,Malignant melanoma of unspecified part of face,malignancy,n/a,C43
C43.31,Malignant melanoma of nose,malignancy,n/a,C43
C43.39,Malignant melanoma of other parts of face,malignancy,n/a,C43
C43.4,Malignant melanoma of scalp and neck,malignancy,n/a,C43
C43.51,Malignant melanoma of anal skin,malignancy,n/a,C43
C43.52,Malignant melanoma of skin of breast,malignancy,n/a,C43
C43.59,Malignant melanoma of other part of trunk,malignancy,n/a,C43
C43.60,Malignant melanoma of unspecified upper limb; including shoulder,malignancy,n/a,C43
C43.61,Malignant melanoma of right upper limb; including shoulder,malignancy,n/a,C43
C43.62,Malignant melanoma of left upper limb; including shoulder,malignancy,n/a,C43
C43.70,Malignant melanoma of unspecified lower limb; including hip,malignancy,n/a,C43
C43.71,Malignant melanoma of right lower limb; including hip,malignancy,n/a,C43
C43.72,Malignant melanoma of left lower limb; including hip,malignancy,n/a,C43
C43.8,Malignant melanoma of overlapping sites of skin,malignancy,n/a,C43
C43.9,Malignant melanoma of skin; unspecified,malignancy,n/a,C43
C4A.0,Merkel cell carcinoma of lip,malignancy,n/a,C4A
C4A.10,Merkel cell carcinoma of unspecified eyelid; including canthus,malignancy,n/a,C4A
C4A.11,Merkel cell carcinoma of right eyelid; including canthus,malignancy,n/a,C4A
C4A.12,Merkel cell carcinoma of left eyelid; including canthus,malignancy,n/a,C4A
C4A.20,Merkel cell carcinoma of unspecified ear and external auricular canal,malignancy,n/a,C4A
C4A.21,Merkel cell carcinoma of right ear and external auricular canal,malignancy,n/a,C4A
C4A.22,Merkel cell carcinoma of left ear and external auricular canal,malignancy,n/a,C4A
C4A.30,Merkel cell carcinoma of unspecified part of face,malignancy,n/a,C4A
C4A.31,Merkel cell carcinoma of nose,malignancy,n/a,C4A
C4A.39,Merkel cell carcinoma of other parts of face,malignancy,n/a,C4A
C4A.4,Merkel cell carcinoma of scalp and trunk,malignancy,n/a,C4A
C4A.51,Merkel cell carcinoma of anal skin,malignancy,n/a,C4A
C4A.52,Merkel cell carcinoma of skin of breast,malignancy,n/a,C4A
C4A.59,Merkel cell carcinoma of other part of trunk,malignancy,n/a,C4A
C4A.60,Merkel cell carcinoma of unspecified upper limb; including shoulder,malignancy,n/a,C4A
C4A.61,Merkel cell carcinoma of right upper limb; including shoulder,malignancy,n/a,C4A
C4A.62,Merkel cell carcinoma of left upper limb; including shoulder,malignancy,n/a,C4A
C4A.70,Merkel cell carcinoma of unspecified lower limb; including hip,malignancy,n/a,C4A
C4A.71,Merkel cell carcinoma of right lower limb; including hip,malignancy,n/a,C4A
C4A.72,Merkel cell carcinoma of left lower limb; including hip,malignancy,n/a,C4A
C4A.8,Merkel cell carcinoma of overlapping sites,malignancy,n/a,C4A
C4A.9,Merkel cell carcinoma; unspecified,malignancy,n/a,C4A
C44.00,Unspecified malignant neoplasm of skin of lip,malignancy,n/a,C44
C44.01,Basal cell carcinoma of skin of lip,malignancy,n/a,C44
C44.02,Squamous cell carcinoma of skin of lip,malignancy,n/a,C44
C44.09,Other specified malignant neoplasm of skin of lip,malignancy,n/a,C44
C44.101,Unspecified malignant neoplasm of skin of unspecified eyelid; including canthus,malignancy,n/a,C44
C44.102,Unspecified malignant neoplasm of skin of right eyelid; including canthus,malignancy,n/a,C44
C44.109,Unspecified malignant neoplasm of skin of left eyelid; including canthus,malignancy,n/a,C44
C44.111,Basal cell carcinoma of skin of unspecified eyelid; including canthus,malignancy,n/a,C44
C44.112,Basal cell carcinoma of skin of right eyelid; including canthus,malignancy,n/a,C44
C44.119,Basal cell carcinoma of skin of left eyelid; including canthus,malignancy,n/a,C44
C44.121,Squamous cell carcinoma of skin of unspecified eyelid; including canthus,malignancy,n/a,C44
C44.122,Squamous cell carcinoma of skin of right eyelid; including canthus,malignancy,n/a,C44
C44.129,Squamous cell carcinoma of skin of left eyelid; including canthus,malignancy,n/a,C44
C44.191,Other specified malignant neoplasm of skin of unspecified eyelid; including canthus,malignancy,n/a,C44
C44.192,Other specified malignant neoplasm of skin of right eyelid; including canthus,malignancy,n/a,C44
C44.199,Other specified malignant neoplasm of skin of left eyelid; including canthus,malignancy,n/a,C44
C44.201,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,malignancy,n/a,C44
C44.202,Unspecified malignant neoplasm of skin of right ear and external auricular canal,malignancy,n/a,C44
C44.209,Unspecified malignant neoplasm of skin of left ear and external auricular canal,malignancy,n/a,C44
C44.211,Basal cell carcinoma of skin of unspecified ear and external auricular canal,malignancy,n/a,C44
C44.212,Basal cell carcinoma of skin of right ear and external auricular canal,malignancy,n/a,C44
C44.219,Basal cell carcinoma of skin of left ear and external auricular canal,malignancy,n/a,C44
C44.221,Squamous cell carcinoma of skin of unspecified ear and external auricular canal,malignancy,n/a,C44
