linkid,loc_start,loc_end,geocode,latitude,longitude,block_group_count,natrank_avg,staterank_avg
104350,2010-07-26,NULL,08005006502,39.608800,-105.016000,3,34.66666667,5.666666667
105048,2011-06-27,NULL,08005006704,39.624400,-104.923000,4,1,1
104533,2009-10-09,NULL,08005006712,39.614200,-104.913000,2,2.5,1
105030,2012-11-12,NULL,08005006854,39.626500,-104.844000,1,10,2
105267,2009-02-03,NULL,08005006856,39.582600,-104.836000,4,30.66666667,4.666666667
104900,2009-05-04,NULL,08005007104,39.711100,-104.744000,3,42,5
104243,2014-11-11,NULL,08005007106,39.617800,-104.713000,2,14.5,2
100077,2009-11-30,NULL,08005080200,39.684400,-104.862000,4,27.5,4
105370,2011-05-05,NULL,08005080200,39.685500,-104.864000,4,27.5,4
105384,2010-01-30,NULL,08005080700,39.692500,-104.847000,3,53.33333333,7.333333333
104191,2011-03-12,NULL,08005080700,39.683600,-104.841000,3,53.33333333,7.333333333
104956,2009-03-27,NULL,08005081500,39.658200,-104.840000,2,60.5,8.5
100104,2011-01-12,NULL,08005082100,39.703900,-104.801000,3,53.66666667,6.666666667
104364,2013-10-23,NULL,08005082400,39.670200,-104.806000,3,56.33333333,7.333333333
104256,2013-03-19,NULL,08005083000,39.663800,-104.737000,1,20,3
105066,2012-06-24,NULL,08005083100,39.670400,-104.758000,4,40.25,5.75
104062,2007-10-21,NULL,08005083400,39.663200,-104.753000,3,31.33333333,5
104043,2014-11-23,NULL,08005085300,39.597200,-104.727000,1,10,2
104180,2010-10-30,NULL,08005085700,39.630500,-104.786000,4,45,6.5
104135,2007-12-03,NULL,08013012204,40.015700,-105.276000,3,37,4
104310,2012-01-18,NULL,08013012507,39.993200,-105.258000,3,17.33333333,2.666666667
105410,2011-01-03,NULL,08013012510,39.919200,-105.277000,4,5,1.25
104588,2010-02-19,NULL,08013013211,40.148200,-105.083000,3,39.33333333,4.333333333
105105,2011-11-07,NULL,08013013701,40.077500,-105.355000,4,5.25,1
105073,2009-02-10,NULL,08013013702,40.040600,-105.366000,7,19.14285714,3
104813,2011-12-03,NULL,08013060600,39.943800,-105.187000,3,30,4
100211,2012-06-02,NULL,08013060700,39.965100,-105.140000,3,7.666666667,1.333333333
104447,2009-01-13,NULL,08013060800,39.970300,-105.058000,5,42.2,5.8
105456,2009-06-02,NULL,08014030200,39.909500,-105.085000,1,35,6
105080,2012-03-10,NULL,08014031400,40.002700,-104.964000,4,10.33333333,1.666666667
104206,2011-10-12,NULL,08014031400,39.981400,-105.051000,4,10.33333333,1.666666667
104193,2010-04-04,NULL,08031000301,39.775300,-105.047000,6,18.83333333,3
105328,2009-05-14,NULL,08031000903,39.720700,-105.027000,5,63.6,8.6
104532,2010-01-20,NULL,08031001301,39.697400,-105.014000,5,51.6,7.6
104618,2014-08-05,NULL,08031001302,39.710100,-105.010000,3,58,8
103913,2010-06-29,NULL,08031001600,39.760600,-104.982000,3,30.33333333,4.666666667
105431,2009-07-26,NULL,08031003001,39.686200,-104.983000,5,10.2,1.6
100572,2011-08-31,NULL,08031003601,39.762700,-104.962000,5,45.4,6.8
105372,2011-11-16,NULL,08031003800,39.723900,-104.943000,5,10.6,2
104286,2011-05-24,NULL,08031003902,39.690900,-104.951000,3,10.66666667,1.333333333
105160,2009-07-05,NULL,08031004101,39.773200,-104.933000,3,57,8
105430,2010-12-19,NULL,08031004101,39.767000,-104.927000,3,57,8
104931,2013-06-18,NULL,08031004303,39.719300,-104.924000,4,2,1
104806,2012-01-23,NULL,08031004306,39.716800,-104.917000,5,21.4,3.4
104389,2010-07-11,NULL,08031004404,39.733100,-104.892000,3,52.33333333,7.333333333
104750,2011-05-30,NULL,08031005200,39.691200,-104.915000,4,21.5,3.5
104441,2010-04-21,NULL,08031006814,39.662500,-104.871000,4,27.75,4.25
100294,2010-06-18,NULL,08035013901,39.559200,-104.741000,4,11.75,1.75
105390,2010-07-06,NULL,08035013907,39.486400,-104.769000,4,28,4.25
104613,2010-05-29,NULL,08035013907,39.486000,-104.769000,4,28,4.25
105111,2010-07-12,NULL,08035013911,39.495600,-104.700000,4,8,1.25
104993,2010-06-09,NULL,08035014001,39.565100,-104.859000,3,29,4.666666667
105228,2010-07-19,NULL,08035014009,39.508400,-104.793000,2,18.5,3
104697,2009-02-02,NULL,08035014011,39.517400,-104.857000,1,13,2
104059,2001-03-09,NULL,08035014012,39.446600,-104.810000,4,12,2.25
105179,2009-01-25,NULL,08035014012,39.411600,-104.859000,4,12,2.25
104224,2011-10-22,NULL,08035014108,39.550700,-104.982000,3,15.33333333,2.666666667
104901,2010-10-02,NULL,08035014204,39.537300,-105.064000,1,19,3
104151,2012-03-17,NULL,08035014403,39.345700,-104.888000,3,11,2
104965,2010-04-16,NULL,08035014403,39.185200,-104.860000,3,11,2
105361,2010-04-22,NULL,08035014406,39.376700,-104.892000,4,14,2
105306,2012-10-07,NULL,08035014602,39.339900,-104.700000,1,5,1
105424,2010-03-04,NULL,08039961204,39.504300,-104.648000,4,12,2
105330,2011-04-26,NULL,08039961204,39.471300,-104.642000,4,12,2
105377,2011-09-14,NULL,08059009808,39.876200,-105.280000,4,13,2.25
100178,2010-09-28,NULL,08059009829,39.877600,-105.128000,1,21,3
105012,2009-06-22,NULL,08059009836,39.837500,-105.152000,2,13.5,2
104562,2011-06-15,NULL,08059009837,39.847400,-105.208000,2,4.5,1
104141,2012-05-23,NULL,08059009837,39.850100,-105.167000,2,4.5,1
105270,2010-10-14,NULL,08059009845,39.691300,-105.213000,3,4.666666667,1
104455,2011-10-30,NULL,08059009851,39.805600,-105.171000,3,15,2.333333333
104211,2009-11-21,NULL,08059009852,39.789400,-105.138000,3,12.33333333,2
104061,2013-12-11,NULL,08059010208,39.830600,-105.080000,4,35.5,5.5
104009,2006-06-08,NULL,08059010701,39.766800,-105.081000,3,34,5.666666667
104598,2009-10-02,NULL,08059010902,39.728100,-105.110000,2,44.5,6.5
100153,2009-11-30,NULL,08059011602,39.717200,-105.065000,3,43,6.666666667
100750,2009-03-08,NULL,08059011702,39.695600,-105.100000,4,29.25,4.75
105143,2010-12-06,NULL,08059011726,39.667900,-105.143000,3,19,3.333333333
104002,2010-12-08,NULL,08059011731,39.644100,-105.170000,3,52.33333333,7
105426,2010-02-07,NULL,08059011806,39.703100,-105.058000,3,53.66666667,7.666666667
104970,2010-02-13,NULL,08059011904,39.655500,-105.080000,2,49,7
100752,2011-11-15,NULL,08059011951,39.673300,-105.061000,2,36,5.5
104461,2011-05-22,NULL,08059012027,39.639700,-105.211000,3,14.33333333,2.333333333
104042,2009-01-10,NULL,08059012027,39.596500,-105.229000,3,14.33333333,2.333333333
103904,2012-01-22,NULL,08059012034,39.597600,-105.205000,3,3,1
104800,2010-01-15,NULL,08059012035,39.578100,-105.179000,3,3.666666667,1
104798,2010-01-22,NULL,08059012035,39.560500,-105.171000,3,3.666666667,1
104334,2010-06-28,NULL,08059012036,39.516200,-105.109000,2,8.5,1.5
104549,2009-01-21,NULL,08059012043,39.620200,-105.130000,3,19,3.333333333
100249,2010-08-30,NULL,08123002005,40.067600,-104.949000,1,15,2
104914,2009-12-20,NULL,08123002010,40.141700,-105.043000,1,49,7
105249,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
