yr,TRACT,wt_category,count
2017,2010,Class II Obese,3
2017,2010,Normal,6
2017,2010,Underweight,1
2017,2012,Normal,1
2017,2017,Class I Obese,1
2017,2017,Class III Obese,1
2017,2021,Class II Obese,1
2017,2100,Class I Obese,1
2017,2100,Normal,5
2017,2100,Overweight,4
2017,2103,Class I Obese,5
2017,2103,Class II Obese,3
2017,2103,Class III Obese,1
2017,2103,Normal,4
2017,2103,Overweight,6
2017,2300,Overweight,2
2017,2402,Normal,1
2017,2403,Class I Obese,1
2017,2403,Normal,2
2017,2403,Overweight,1
2017,2502,Class II Obese,1
2017,2502,Normal,2
2017,2601,Normal,1
2017,2602,Overweight,2
2017,2701,Normal,1
2017,2701,Overweight,1
2017,2702,Normal,3
2017,2801,Overweight,1
2017,2802,Overweight,2
2017,2901,Class II Obese,1
2017,2901,Normal,4
2017,2902,Class I Obese,1
2017,2902,Normal,1
2017,3001,Class I Obese,1
2017,3001,Normal,4
2017,3001,Overweight,1
2017,3003,Normal,1
2017,3004,Class I Obese,2
2017,3004,Normal,1
2017,3004,Overweight,1
2017,3102,Class I Obese,1
2017,3102,Normal,1
2017,3102,Overweight,1
2017,3201,Class I Obese,2
2017,3201,Class II Obese,2
2017,3201,Class III Obese,1
2017,3201,Normal,1
2017,3202,Normal,1
2017,3202,Underweight,1
2017,3203,Class I Obese,1
2017,3203,Class III Obese,1
2017,3203,Normal,1
2017,3203,Overweight,2
2017,3300,Class I Obese,2
2017,3300,Normal,2
2017,3401,Class I Obese,1
2017,3401,Normal,2
2017,3401,Overweight,2
2017,3402,Class I Obese,1
2017,3402,Class II Obese,1
2017,3402,Normal,1
2017,3402,Overweight,2
2017,3500,Class I Obese,3
2017,3500,Normal,3
2017,3500,Overweight,4
2017,3500,Underweight,1
2017,3601,Class III Obese,1
2017,3601,Overweight,1
2017,3602,Class I Obese,2
2017,3602,Class II Obese,1
2017,3602,Normal,2
2017,3602,Overweight,1
2017,3603,Class I Obese,1
2017,3603,Normal,3
2017,3603,Overweight,3
2017,3701,Class I Obese,2
2017,3701,Normal,1
2017,3701,Overweight,1
2017,3701,Underweight,1
2017,3702,Class I Obese,2
2017,3702,Normal,2
2017,3703,Normal,2
2017,3800,Class I Obese,2
2017,3800,Class II Obese,1
2017,3800,Normal,2
2017,3800,Overweight,1
2017,3901,Normal,3
2017,3901,Overweight,2
2017,3902,Normal,4
2017,3902,Overweight,2
2017,4002,Class I Obese,1
2017,4002,Normal,2
2017,4002,Overweight,1
2017,4003,Class I Obese,1
2017,4003,Class II Obese,1
2017,4003,Class III Obese,1
2017,4003,Normal,1
2017,4004,Class I Obese,1
2017,4004,Normal,1
2017,4004,Overweight,1
2017,4005,Class II Obese,1
2017,4005,Normal,1
2017,4006,Class I Obese,1
2017,4006,Normal,1
2017,4101,Class I Obese,4
2017,4101,Class II Obese,1
2017,4101,Normal,1
2017,4101,Overweight,2
2017,4102,Class I Obese,3
2017,4103,Normal,2
2017,4103,Overweight,1
2017,4104,Normal,2
2017,4104,Overweight,2
2017,4106,Class I Obese,8
2017,4106,Class II Obese,3
2017,4106,Normal,7
2017,4106,Overweight,4
2017,4107,Class I Obese,3
2017,4107,Normal,5
2017,4107,Overweight,5
2017,4201,Class I Obese,1
2017,4201,Normal,4
2017,4201,Overweight,1
2017,4201,Underweight,1
2017,4202,Class I Obese,1
2017,4202,Class II Obese,1
2017,4202,Normal,1
2017,4202,Overweight,1
2017,4301,Class II Obese,1
2017,4301,Normal,2
2017,4302,Class II Obese,1
2017,4302,Normal,1
2017,4302,Overweight,1
2017,4303,Class I Obese,1
2017,4303,Normal,5
2017,4303,Overweight,1
2017,4304,Class I Obese,2
2017,4304,Normal,1
2017,4304,Overweight,1
2017,4304,Underweight,1
2017,4306,Class I Obese,5
2017,4306,Class III Obese,1
2017,4306,Normal,1
2017,4306,Overweight,2
2017,4403,Class I Obese,2
2017,4403,Normal,1
2017,4404,Normal,5
2017,4405,Class I Obese,6
2017,4405,Class III Obese,3
2017,4405,Normal,13
2017,4405,Overweight,3
2017,4405,Underweight,1
2017,4503,Normal,2
2017,4504,Normal,2
2017,4505,Overweight,1
2017,4506,Overweight,1
2017,4601,Class I Obese,2
2017,4601,Class II Obese,1
2017,4601,Class III Obese,1
2017,4601,Normal,2
2017,4602,Class I Obese,1
2017,4602,Normal,2
2017,4602,Overweight,1
2017,4700,Class I Obese,1
2017,4700,Normal,2
2017,4700,Overweight,2
2017,4700,Underweight,1
2017,4952,Normal,1
2017,5001,Class I Obese,2
2017,5001,Normal,1
2017,5002,Class I Obese,2
2017,5002,Normal,1
2017,5002,Overweight,2
2017,5102,Class I Obese,3
2017,5102,Normal,2
2017,5102,Overweight,1
2017,5102,Underweight,1
2017,5104,Overweight,1
2017,5200,Class I Obese,3
2017,5200,Normal,3
2017,5300,Class I Obese,1
2017,5300,Overweight,1
2017,5502,Class I Obese,4
2017,5502,Class II Obese,1
2017,5502,Normal,1
2017,5502,Overweight,1
2017,5503,Normal,2
2017,5503,Overweight,1
2017,5551,Class I Obese,1
2017,5551,Class II Obese,3
2017,5551,Class III Obese,1
2017,5551,Normal,3
2017,5551,Overweight,3
2017,5552,Class I Obese,3
2017,5552,Normal,1
2017,5553,Class I Obese,1
2017,5611,Class I Obese,3
2017,5611,Class II Obese,2
2017,5611,Class III Obese,1
2017,5611,Normal,3
2017,5611,Underweight,1
2017,5612,Class I Obese,6
2017,5612,Class II Obese,3
2017,5612,Normal,2
2017,5612,Overweight,3
2017,5614,Class I Obese,1
2017,5614,Normal,2
2017,5614,Overweight,1
2017,5619,Class I Obese,5
2017,5619,Normal,6
2017,5619,Overweight,3
2017,5620,Normal,1
2017,5621,Normal,2
2017,5621,Overweight,1
2017,5622,Class II Obese,1
2017,5622,Class III Obese,1
2017,5622,Normal,4
2017,5622,Overweight,2
2017,5623,Overweight,1
2017,5624,Class I Obese,1
2017,5625,Class I Obese,2
2017,5625,Normal,3
2017,5625,Overweight,2
2017,5626,Class I Obese,1
2017,5626,Overweight,2
2017,5627,Class I Obese,3
2017,5627,Class II Obese,1
2017,5627,Normal,2
2017,5627,Overweight,3
2017,5628,Class I Obese,1
2017,5628,Normal,3
2017,5628,Overweight,2
2017,5628,Underweight,1
2017,5629,Class I Obese,6
2017,5629,Normal,2
2017,5629,Overweight,4
2017,5629,Underweight,1
2017,5630,Class I Obese,1
2017,5630,Normal,2
2017,5631,Class I Obese,1
2017,5631,Normal,1
2017,5632,Class I Obese,1
2017,5632,Class II Obese,1
2017,5632,Normal,3
2017,5632,Overweight,3
2017,5633,Normal,2
2017,5634,Class I Obese,3
2017,5634,Class II Obese,1
2017,5634,Overweight,1
2017,5635,Class I Obese,2
2017,5635,Normal,2
2017,5635,Overweight,4
2017,5635,Underweight,2
2017,5636,Class I Obese,3
2017,5636,Class II Obese,1
2017,5636,Normal,4
2017,5636,Overweight,4
2017,5700,Class I Obese,1
2017,5700,Normal,1
2017,5800,Normal,1
2017,5951,Class I Obese,1
2017,5951,Class II Obese,1
2017,5951,Underweight,1
2017,5952,Normal,1
2017,5952,Overweight,1
2017,6000,Class I Obese,1
2017,6000,Class II Obese,1
2017,6000,Overweight,1
2017,6100,Normal,1
2017,6200,Normal,1
2017,6300,Normal,1
2017,6400,Class II Obese,3
2017,6400,Normal,1
2017,6400,Underweight,1
2017,6501,Class I Obese,2
2017,6601,Class I Obese,2
2017,6601,Class II Obese,1
2017,6601,Normal,2
2017,6603,Class I Obese,1
2017,6603,Overweight,1
2017,6604,Class I Obese,1
2017,6604,Overweight,7
2017,6701,Class II Obese,1
2017,6701,Normal,2
2017,6701,Underweight,1
2017,6704,Class I Obese,8
2017,6704,Class II Obese,2
2017,6704,Normal,8
2017,6704,Overweight,3
2017,6704,Underweight,2
2017,6705,Class I Obese,4
2017,6705,Class II Obese,2
2017,6705,Normal,5
2017,6705,Overweight,6
2017,6706,Class I Obese,2
2017,6706,Class II Obese,1
2017,6706,Normal,2
2017,6706,Overweight,2
2017,6706,Underweight,2
2017,6707,Class II Obese,1
2017,6707,Class III Obese,2
2017,6707,Normal,5
2017,6707,Overweight,1
2017,6708,Class I Obese,1
2017,6708,Class III Obese,1
2017,6708,Normal,3
2017,6709,Class I Obese,2
2017,6709,Class III Obese,1
2017,6709,Normal,2
2017,6709,Overweight,3
2017,6711,Class I Obese,5
2017,6711,Class II Obese,1
2017,6711,Normal,3
2017,6711,Overweight,1
2017,6712,Class I Obese,4
2017,6712,Class III Obese,2
2017,6712,Normal,7
2017,6712,Overweight,2
2017,6712,Underweight,1
2017,6713,Overweight,1
2017,6804,Class I Obese,1
2017,6804,Class III Obese,1
2017,6804,Normal,3
2017,6804,Overweight,1
2017,6808,Class I Obese,3
2017,6808,Class III Obese,1
2017,6808,Normal,3
2017,6808,Overweight,2
2017,6808,Underweight,1
2017,6809,Class III Obese,1
2017,6809,Normal,3
2017,6809,Overweight,2
2017,6810,Normal,3
2017,6810,Overweight,1
2017,6810,Underweight,1
2017,6811,Class I Obese,2
2017,6811,Normal,2
2017,6812,Normal,2
2017,6812,Overweight,1
2017,6813,Normal,2
2017,6813,Overweight,1
2017,6814,Class I Obese,2
2017,6814,Normal,3
2017,6814,Overweight,4
2017,6814,Underweight,1
2017,6815,Class I Obese,2
2017,6815,Class II Obese,1
2017,6815,Class III Obese,1
2017,6815,Normal,1
2017,6815,Overweight,1
2017,6854,Class I Obese,12
2017,6854,Class II Obese,2
2017,6854,Normal,7
2017,6854,Overweight,9
2017,6854,Underweight,3
2017,6855,Class I Obese,6
2017,6855,Class II Obese,2
2017,6855,Normal,7
2017,6855,Overweight,3
2017,6856,Class I Obese,11
2017,6856,Class II Obese,3
2017,6856,Normal,16
2017,6856,Overweight,3
2017,6856,Underweight,5
2017,6858,Class I Obese,2
2017,6858,Class II Obese,1
2017,6858,Normal,2
2017,6901,Class I Obese,1
2017,6901,Class II Obese,1
2017,6901,Normal,1
2017,6901,Overweight,2
2017,7006,Class III Obese,1
2017,7006,Normal,2
2017,7006,Overweight,2
2017,7013,Class I Obese,1
2017,7037,Class I Obese,1
2017,7037,Overweight,1
2017,7088,Class I Obese,1
2017,7088,Class II Obese,1
2017,7088,Normal,3
2017,7088,Overweight,1
2017,7089,Class I Obese,1
2017,7089,Class II Obese,1
2017,7089,Underweight,1
2017,7101,Class I Obese,2
2017,7101,Class II Obese,2
2017,7101,Normal,3
2017,7101,Overweight,1
2017,7101,Underweight,1
2017,7103,Class I Obese,6
2017,7103,Class III Obese,1
2017,7103,Normal,8
2017,7103,Overweight,5
2017,7103,Underweight,1
2017,7104,Class I Obese,10
2017,7104,Class II Obese,4
2017,7104,Class III Obese,1
2017,7104,Normal,15
2017,7104,Overweight,7
2017,7104,Underweight,1
2017,7105,Class I Obese,3
2017,7105,Class II Obese,3
2017,7105,Class III Obese,1
2017,7105,Normal,8
2017,7105,Overweight,2
2017,7105,Underweight,1
2017,7106,Class I Obese,3
2017,7106,Class III Obese,1
2017,7106,Normal,4
2017,7106,Overweight,3
2017,7106,Underweight,1
2017,7107,Class I Obese,1
2017,7107,Class II Obese,2
2017,7107,Normal,3
2017,7107,Overweight,1
2017,7107,Underweight,1
2017,7201,Class I Obese,1
2017,7201,Class II Obese,1
2017,7201,Normal,2
2017,7202,Class III Obese,1
2017,7202,Normal,5
2017,7202,Overweight,2
2017,7202,Underweight,1
2017,7301,Class I Obese,1
2017,7302,Class I Obese,1
2017,7302,Normal,2
2017,7302,Overweight,1
2017,7400,Class I Obese,1
2017,7400,Normal,3
2017,7500,Class I Obese,1
2017,7500,Normal,1
2017,7500,Overweight,1
2017,7600,Class I Obese,2
2017,7702,Normal,3
2017,7702,Overweight,1
2017,7702,Underweight,1
2017,7703,Class I Obese,2
2017,7703,Normal,3
2017,7703,Overweight,2
2017,7704,Normal,1
2017,7801,Class I Obese,1
2017,7900,Class I Obese,3
2017,7900,Normal,1
2017,7900,Overweight,1
2017,7900,Underweight,1
2017,8000,Class I Obese,2
2017,8000,Normal,3
2017,8000,Overweight,1
2017,8100,Class I Obese,2
2017,8100,Normal,2
2017,8100,Overweight,2
2017,8200,Class I Obese,2
2017,8200,Normal,4
2017,8200,Overweight,1
2017,8304,Overweight,1
2017,8306,Class I Obese,1
2017,8308,Class I Obese,1
2017,8308,Normal,3
2017,8308,Overweight,2
2017,8309,Class I Obese,2
2017,8309,Normal,3
2017,8309,Overweight,2
2017,8312,Class I Obese,1
2017,8312,Normal,1
2017,8353,Class I Obese,10
2017,8353,Class II Obese,2
2017,8353,Normal,16
2017,8353,Overweight,14
2017,8353,Underweight,3
2017,8387,Class I Obese,1
2017,8387,Overweight,1
2017,8387,Underweight,1
2017,8388,Normal,1
2017,8401,Class I Obese,11
2017,8401,Class II Obese,2
2017,8401,Class III Obese,2
2017,8401,Normal,13
2017,8401,Overweight,7
2017,8401,Underweight,1
2017,8402,Class I Obese,3
2017,8402,Class II Obese,1
2017,8402,Underweight,1
2017,8505,Class I Obese,1
2017,8505,Normal,2
2017,8505,Overweight,2
2017,8506,Class I Obese,1
2017,8506,Normal,2
2017,8506,Overweight,1
2017,8506,Underweight,1
2017,8507,Normal,1
2017,8507,Overweight,1
2017,8508,Normal,1
2017,8508,Underweight,1
2017,8523,Class I Obese,12
2017,8523,Class II Obese,4
2017,8523,Class III Obese,6
2017,8523,Normal,29
2017,8523,Overweight,15
2017,8523,Underweight,3
2017,8524,Class I Obese,3
2017,8524,Normal,2
2017,8524,Overweight,2
2017,8526,Class I Obese,2
2017,8526,Class II Obese,1
2017,8526,Class III Obese,1
2017,8526,Normal,2
2017,8526,Overweight,3
2017,8529,Class I Obese,1
2017,8529,Normal,1
2017,8529,Overweight,2
2017,8529,Underweight,2
2017,8533,Class I Obese,2
2017,8533,Normal,4
2017,8534,Normal,1
2017,8534,Overweight,2
2017,8535,Class I Obese,3
2017,8535,Class III Obese,1
2017,8535,Normal,5
2017,8535,Overweight,3
2017,8536,Normal,2
2017,8537,Class I Obese,2
2017,8537,Class II Obese,1
2017,8537,Normal,1
2017,8537,Overweight,2
2017,8537,Underweight,1
2017,8539,Class I Obese,2
2017,8539,Normal,1
2017,8540,Class I Obese,2
2017,8540,Class II Obese,1
2017,8540,Class III Obese,2
2017,8540,Normal,4
2017,8540,Overweight,3
2017,8540,Underweight,1
2017,8541,Class I Obese,2
2017,8541,Normal,3
2017,8541,Overweight,3
2017,8542,Normal,2
2017,8542,Overweight,2
2017,8542,Underweight,1
2017,8543,Class I Obese,1
2017,8543,Normal,2
2017,8543,Overweight,2
2017,8545,Normal,1
2017,8545,Overweight,3
2017,8546,Class I Obese,1
2017,8547,Class I Obese,1
2017,8548,Class I Obese,2
2017,8548,Normal,1
2017,8548,Overweight,1
2017,8549,Class I Obese,1
2017,8549,Normal,1
2017,8550,Class I Obese,2
2017,8550,Class II Obese,2
2017,8550,Normal,4
2017,8551,Class I Obese,2
2017,8551,Normal,5
2017,8551,Overweight,1
2017,8551,Underweight,1
2017,8603,Class I Obese,1
2017,8606,Normal,1
2017,8705,Class I Obese,1
2017,8705,Overweight,1
2017,8709,Class I Obese,1
2017,8709,Class II Obese,1
2017,8709,Normal,2
2017,8709,Underweight,1
2017,8801,Overweight,1
2017,8802,Class I Obese,3
2017,8802,Class II Obese,1
2017,8802,Class III Obese,1
2017,8802,Normal,4
2017,8802,Overweight,4
2017,8802,Underweight,1
2017,8901,Class I Obese,2
2017,8901,Normal,1
2017,8901,Overweight,2
2017,9001,Class I Obese,1
2017,9001,Class II Obese,1
2017,9001,Normal,1
2017,9002,Normal,3
2017,9101,Class I Obese,1
2017,9101,Normal,1
2017,9103,Class I Obese,6
2017,9103,Normal,4
2017,9103,Overweight,1
2017,9104,Normal,1
2017,9202,Class I Obese,2
2017,9202,Overweight,1
2017,9203,Class I Obese,2
2017,9203,Normal,3
2017,9203,Overweight,2
2017,9203,Underweight,1
2017,9204,Normal,2
2017,9204,Overweight,1
2017,9207,Normal,2
2017,9304,Class I Obese,3
2017,9304,Class II Obese,1
2017,9304,Normal,1
2017,9306,Class I Obese,1
2017,9307,Normal,1
2017,9308,Class I Obese,1
2017,9308,Class II Obese,1
2017,9308,Normal,1
2017,9308,Overweight,1
2017,9310,Class I Obese,1
2017,9310,Normal,2
2017,9316,Class I Obese,1
2017,9316,Overweight,3
2017,9318,Class I Obese,1
2017,9319,Class I Obese,1
2017,9320,Class I Obese,1
2017,9320,Class II Obese,1
2017,9321,Normal,2
2017,9322,Overweight,1
2017,9323,Class I Obese,1
2017,9323,Overweight,1
2017,9325,Class I Obese,1
2017,9325,Normal,2
2017,9325,Overweight,1
2017,9327,Class I Obese,1
2017,9327,Normal,1
2017,9401,Class I Obese,2
2017,9401,Normal,2
2017,9401,Overweight,3
2017,9406,Class I Obese,2
2017,9406,Normal,2
2017,9406,Overweight,1
2017,9407,Class I Obese,1
2017,9408,Class I Obese,2
2017,9408,Normal,3
2017,9408,Overweight,3
2017,9409,Class I Obese,2
2017,9409,Normal,1
2017,9409,Overweight,1
2017,9410,Class I Obese,1
2017,9410,Normal,3
2017,9410,Overweight,1
2017,9411,Class I Obese,1
2017,9501,Normal,1
2017,9502,Class I Obese,1
2017,9502,Class II Obese,3
2017,9502,Normal,2
2017,9553,Class I Obese,2
2017,9553,Normal,5
2017,9553,Overweight,2
2017,9603,Overweight,1
2017,9603,Underweight,1
2017,9604,Class I Obese,1
2017,9604,Normal,1
2017,9606,Class I Obese,1
2017,9606,Normal,1
2017,9607,Class II Obese,1
2017,9607,Class III Obese,1
2017,9607,Normal,2
2017,9607,Overweight,2
2017,9607,Underweight,1
2017,9608,Class II Obese,2
2017,9608,Normal,1
2017,9751,Class I Obese,3
2017,9751,Normal,3
2017,9751,Overweight,1
2017,9752,Class I Obese,1
2017,9752,Normal,1
2017,9752,Overweight,2
2017,9806,Class I Obese,4
2017,9806,Normal,2
2017,9808,Class I Obese,20
2017,9808,Class II Obese,7
2017,9808,Class III Obese,2
2017,9808,Normal,28
2017,9808,Overweight,7
2017,9808,Underweight,4
2017,9815,Class I Obese,5
2017,9815,Class III Obese,1
2017,9815,Normal,4
2017,9815,Overweight,1
2017,9824,Class I Obese,1
2017,9824,Class II Obese,1
2017,9827,Class I Obese,1
2017,9827,Class II Obese,1
2017,9827,Normal,1
2017,9827,Overweight,1
2017,9828,Class I Obese,4
2017,9828,Class II Obese,1
2017,9828,Normal,2
2017,9828,Overweight,3
2017,9829,Class I Obese,1
2017,9829,Class II Obese,1
2017,9829,Normal,7
2017,9829,Overweight,1
2017,9831,Normal,1
2017,9832,Normal,1
2017,9832,Overweight,1
2017,9832,Underweight,1
2017,9833,Class I Obese,2
2017,9833,Normal,3
2017,9834,Normal,3
2017,9834,Underweight,1
2017,9835,Normal,1
2017,9835,Overweight,2
2017,9836,Normal,1
2017,9836,Overweight,3
2017,9837,Class I Obese,5
2017,9837,Class II Obese,1
2017,9837,Normal,7
2017,9838,Class I Obese,1
2017,9838,Normal,1
2017,9838,Overweight,2
2017,9839,Normal,1
2017,9839,Overweight,1
2017,9840,Class I Obese,1
2017,9840,Normal,3
2017,9841,Normal,2
2017,9843,Class I Obese,2
2017,9843,Overweight,1
2017,9845,Class I Obese,2
2017,9845,Normal,12
2017,9845,Overweight,5
2017,9849,Class I Obese,5
2017,9849,Normal,5
2017,9849,Underweight,1
2017,9850,Class I Obese,1
2017,9850,Normal,3
2017,9850,Overweight,1
2017,9851,Class I Obese,1
2017,9851,Class III Obese,1
2017,9852,Normal,3
2017,9852,Overweight,3
2017,9900,Class I Obese,1
2017,9900,Normal,2
2017,9900,Overweight,2
2017,9900,Underweight,1
2017,10000,Class I Obese,3
2017,10000,Normal,1
2017,10100,Class I Obese,3
2017,10100,Normal,1
2017,10100,Overweight,1
2017,10100,Underweight,2
2017,10205,Normal,2
2017,10206,Class II Obese,1
2017,10206,Normal,2
2017,10206,Overweight,1
2017,10208,Normal,1
2017,10208,Overweight,3
2017,10208,Underweight,1
2017,10209,Normal,1
2017,10210,Normal,1
2017,10211,Normal,1
2017,10211,Overweight,1
2017,10212,Class I Obese,3
2017,10212,Class III Obese,1
2017,10212,Overweight,1
2017,10213,Class I Obese,1
2017,10213,Normal,2
2017,10303,Class II Obese,1
2017,10303,Normal,3
2017,10303,Overweight,2
2017,10304,Normal,1
2017,10306,Class I Obese,1
2017,10306,Normal,1
2017,10306,Overweight,2
2017,10308,Class II Obese,1
2017,10402,Class I Obese,1
2017,10402,Normal,1
2017,10402,Overweight,3
2017,10403,Class I Obese,1
2017,10403,Normal,3
2017,10403,Overweight,1
2017,10405,Underweight,1
2017,10406,Class I Obese,1
2017,10406,Class III Obese,1
2017,10406,Normal,1
2017,10406,Overweight,6
2017,10502,Class I Obese,2
2017,10502,Class II Obese,1
2017,10502,Normal,6
2017,10502,Overweight,3
2017,10502,Underweight,1
2017,10503,Class I Obese,1
2017,10503,Normal,1
2017,10503,Overweight,2
2017,10504,Class I Obese,4
2017,10504,Normal,1
2017,10603,Normal,4
2017,10604,Class I Obese,2
2017,10604,Class II Obese,2
2017,10604,Class III Obese,1
2017,10604,Overweight,1
2017,10701,Class III Obese,1
2017,10701,Normal,1
2017,10701,Overweight,1
2017,10702,Class I Obese,2
2017,10702,Normal,2
2017,10801,Class I Obese,2
2017,10801,Normal,1
2017,10901,Class I Obese,2
2017,10901,Normal,8
2017,10901,Underweight,1
2017,10902,Class I Obese,1
2017,11000,Class I Obese,1
2017,11000,Class II Obese,2
2017,11000,Normal,3
2017,11000,Overweight,2
2017,11100,Class I Obese,2
2017,11100,Class II Obese,1
2017,11100,Normal,2
2017,11100,Overweight,2
2017,11100,Underweight,1
2017,11202,Normal,3
2017,11300,Class I Obese,1
2017,11402,Class I Obese,2
2017,11402,Normal,2
2017,11550,Class I Obese,3
2017,11550,Normal,1
2017,11550,Overweight,2
2017,11602,Class I Obese,1
2017,11602,Class II Obese,1
2017,11701,Class I Obese,3
2017,11701,Normal,2
2017,11701,Underweight,3
2017,11702,Class I Obese,1
2017,11702,Class II Obese,1
2017,11702,Normal,1
2017,11702,Overweight,1
2017,11709,Class I Obese,1
2017,11709,Class II Obese,1
2017,11709,Normal,1
2017,11709,Overweight,1
2017,11710,Class I Obese,1
2017,11710,Class III Obese,1
2017,11710,Normal,3
2017,11711,Class I Obese,1
2017,11711,Normal,1
2017,11712,Class I Obese,2
2017,11712,Normal,1
2017,11720,Class I Obese,5
2017,11720,Class II Obese,1
2017,11720,Normal,2
2017,11720,Overweight,4
2017,11721,Class I Obese,1
2017,11721,Class II Obese,1
2017,11723,Overweight,1
2017,11724,Class II Obese,1
2017,11724,Normal,1
2017,11724,Underweight,1
2017,11725,Class I Obese,2
2017,11725,Normal,1
2017,11726,Class I Obese,2
2017,11726,Class III Obese,1
2017,11726,Normal,4
2017,11726,Overweight,3
2017,11726,Underweight,2
2017,11727,Class I Obese,1
2017,11727,Normal,1
2017,11728,Normal,1
2017,11729,Class I Obese,4
2017,11729,Class II Obese,1
2017,11729,Overweight,1
2017,11730,Class I Obese,2
2017,11730,Normal,1
2017,11731,Class I Obese,5
2017,11731,Class II Obese,2
2017,11731,Normal,4
2017,11731,Underweight,2
2017,11733,Normal,1
2017,11803,Class I Obese,3
2017,11803,Class II Obese,1
2017,11803,Class III Obese,2
2017,11803,Normal,2
2017,11803,Overweight,1
2017,11804,Class I Obese,1
2017,11804,Normal,2
2017,11804,Overweight,1
2017,11805,Class I Obese,1
2017,11805,Underweight,1
2017,11806,Class I Obese,3
2017,11806,Class II Obese,2
2017,11806,Class III Obese,1
2017,11806,Normal,2
2017,11806,Underweight,1
2017,11902,Class I Obese,1
2017,11902,Normal,1
2017,11902,Overweight,1
2017,11903,Class I Obese,2
2017,11904,Class II Obese,1
2017,11904,Normal,1
2017,11904,Overweight,3
2017,11904,Underweight,1
2017,11951,Class I Obese,1
2017,11951,Normal,3
2017,11951,Overweight,2
2017,12001,Class I Obese,2
2017,12001,Overweight,1
2017,12010,Class I Obese,3
2017,12010,Normal,1
2017,12010,Overweight,1
2017,12014,Class I Obese,2
2017,12014,Normal,1
2017,12014,Overweight,1
2017,12022,Class I Obese,1
2017,12022,Normal,1
2017,12023,Class I Obese,1
2017,12023,Normal,1
2017,12024,Normal,3
2017,12024,Overweight,1
2017,12027,Class I Obese,4
2017,12027,Normal,7
2017,12027,Overweight,9
2017,12027,Underweight,2
2017,12033,Class II Obese,1
2017,12033,Class III Obese,1
2017,12033,Normal,1
2017,12034,Class I Obese,7
2017,12034,Class II Obese,1
2017,12034,Normal,6
2017,12034,Overweight,3
2017,12035,Class I Obese,7
2017,12035,Class II Obese,1
2017,12035,Class III Obese,1
2017,12035,Normal,10
2017,12035,Overweight,3
2017,12035,Underweight,1
2017,12036,Class I Obese,6
2017,12036,Class II Obese,2
2017,12036,Class III Obese,1
2017,12036,Normal,11
2017,12036,Overweight,4
2017,12036,Underweight,1
2017,12038,Overweight,1
